"Statistic Label","Census Year","Sex","CSO Electoral Divisions 2022","UNIT","VALUE"
"Persons with a disability","2022","Males","Agha, Carlow","Number","35"
"Persons with a disability","2022","Males","Ballinacarrig, Carlow","Number","122"
"Persons with a disability","2022","Males","Ballintemple, Carlow","Number","69"
"Persons with a disability","2022","Males","Ballon, Carlow","Number","91"
"Persons with a disability","2022","Males","Ballyellin, Carlow","Number","48"
"Persons with a disability","2022","Males","Ballymoon, Carlow","Number","30"
"Persons with a disability","2022","Males","Ballymurphy, Carlow","Number","27"
"Persons with a disability","2022","Males","Borris, Carlow","Number","139"
"Persons with a disability","2022","Males","Burton Hall, Carlow","Number","57"
"Persons with a disability","2022","Males","Carlow Rural, Carlow","Number","1785"
"Persons with a disability","2022","Males","Carlow Urban, Carlow","Number","724"
"Persons with a disability","2022","Males","Clogrenan, Carlow","Number","127"
"Persons with a disability","2022","Males","Clonegall, Carlow","Number","111"
"Persons with a disability","2022","Males","Clonmore, Carlow","Number","61"
"Persons with a disability","2022","Males","Coonogue, Carlow","Number","26"
"Persons with a disability","2022","Males","Corries, Carlow","Number","68"
"Persons with a disability","2022","Males","Cranemore, Carlow","Number","100"
"Persons with a disability","2022","Males","Fennagh, Carlow","Number","98"
"Persons with a disability","2022","Males","Garryhill, Carlow","Number","65"
"Persons with a disability","2022","Males","Glynn, Carlow","Number","43"
"Persons with a disability","2022","Males","Graigue Urban, Carlow","Number","224"
"Persons with a disability","2022","Males","Grangeford, Carlow","Number","47"
"Persons with a disability","2022","Males","Hacketstown, Carlow","Number","150"
"Persons with a disability","2022","Males","Haroldstown, Carlow","Number","28"
"Persons with a disability","2022","Males","Johnstown, Carlow","Number","58"
"Persons with a disability","2022","Males","Kellistown, Carlow","Number","100"
"Persons with a disability","2022","Males","Kilbride, Carlow","Number","40"
"Persons with a disability","2022","Males","Killedmond, Carlow","Number","42"
"Persons with a disability","2022","Males","Killerrig, Carlow","Number","40"
"Persons with a disability","2022","Males","Kineagh, Carlow","Number","35"
"Persons with a disability","2022","Males","Kyle, Carlow","Number","35"
"Persons with a disability","2022","Males","Leighlinbridge, Carlow","Number","201"
"Persons with a disability","2022","Males","Marley, Carlow","Number","30"
"Persons with a disability","2022","Males","Muinebeag Rural, Carlow","Number","87"
"Persons with a disability","2022","Males","Muinebeag Urban, Carlow","Number","402"
"Persons with a disability","2022","Males","Myshall, Carlow","Number","61"
"Persons with a disability","2022","Males","Nurney, Carlow","Number","77"
"Persons with a disability","2022","Males","Oldleighlin, Carlow","Number","37"
"Persons with a disability","2022","Males","Rahill, Carlow","Number","82"
"Persons with a disability","2022","Males","Rathanna, Carlow","Number","14"
"Persons with a disability","2022","Males","Rathornan, Carlow","Number","58"
"Persons with a disability","2022","Males","Rathrush, Carlow","Number","100"
"Persons with a disability","2022","Males","Rathvilly, Carlow","Number","89"
"Persons with a disability","2022","Males","Ridge, Carlow","Number","31"
"Persons with a disability","2022","Males","Shangarry, Carlow","Number","54"
"Persons with a disability","2022","Males","Sliguff, Carlow","Number","65"
"Persons with a disability","2022","Males","Tankardstown, Carlow","Number","51"
"Persons with a disability","2022","Males","Templepeter, Carlow","Number","47"
"Persons with a disability","2022","Males","Tiknock, Carlow","Number","41"
"Persons with a disability","2022","Males","Tinnahinch, Carlow","Number","68"
"Persons with a disability","2022","Males","Tullow Rural, Carlow","Number","93"
"Persons with a disability","2022","Males","Tullow Urban, Carlow","Number","490"
"Persons with a disability","2022","Males","Tullowbeg, Carlow","Number","54"
"Persons with a disability","2022","Males","Williamstown, Carlow","Number","39"
"Persons with a disability","2022","Males","Arran Quay A, Dublin City","Number","162"
"Persons with a disability","2022","Males","Arran Quay B, Dublin City","Number","375"
"Persons with a disability","2022","Males","Arran Quay C, Dublin City","Number","433"
"Persons with a disability","2022","Males","Arran Quay D, Dublin City","Number","375"
"Persons with a disability","2022","Males","Arran Quay E, Dublin City","Number","376"
"Persons with a disability","2022","Males","Ashtown A, Dublin City","Number","998"
"Persons with a disability","2022","Males","Ashtown B, Dublin City","Number","296"
"Persons with a disability","2022","Males","Ayrfield, Dublin City","Number","734"
"Persons with a disability","2022","Males","Ballybough A, Dublin City","Number","465"
"Persons with a disability","2022","Males","Ballybough B, Dublin City","Number","439"
"Persons with a disability","2022","Males","Ballygall A, Dublin City","Number","399"
"Persons with a disability","2022","Males","Ballygall B, Dublin City","Number","247"
"Persons with a disability","2022","Males","Ballygall C, Dublin City","Number","459"
"Persons with a disability","2022","Males","Ballygall D, Dublin City","Number","303"
"Persons with a disability","2022","Males","Ballymun A, Dublin City","Number","463"
"Persons with a disability","2022","Males","Ballymun B, Dublin City","Number","435"
"Persons with a disability","2022","Males","Ballymun C, Dublin City","Number","643"
"Persons with a disability","2022","Males","Ballymun D, Dublin City","Number","215"
"Persons with a disability","2022","Males","Ballymun E, Dublin City","Number","188"
"Persons with a disability","2022","Males","Ballymun F, Dublin City","Number","268"
"Persons with a disability","2022","Males","Beaumont A, Dublin City","Number","329"
"Persons with a disability","2022","Males","Beaumont B, Dublin City","Number","498"
"Persons with a disability","2022","Males","Beaumont C, Dublin City","Number","421"
"Persons with a disability","2022","Males","Beaumont D, Dublin City","Number","230"
"Persons with a disability","2022","Males","Beaumont E, Dublin City","Number","212"
"Persons with a disability","2022","Males","Beaumont F, Dublin City","Number","386"
"Persons with a disability","2022","Males","Botanic A, Dublin City","Number","330"
"Persons with a disability","2022","Males","Botanic B, Dublin City","Number","343"
"Persons with a disability","2022","Males","Botanic C, Dublin City","Number","162"
"Persons with a disability","2022","Males","Cabra East A, Dublin City","Number","574"
"Persons with a disability","2022","Males","Cabra East B, Dublin City","Number","438"
"Persons with a disability","2022","Males","Cabra East C, Dublin City","Number","448"
"Persons with a disability","2022","Males","Cabra West A, Dublin City","Number","215"
"Persons with a disability","2022","Males","Cabra West B, Dublin City","Number","342"
"Persons with a disability","2022","Males","Cabra West C, Dublin City","Number","377"
"Persons with a disability","2022","Males","Cabra West D, Dublin City","Number","379"
"Persons with a disability","2022","Males","Carna, Dublin City","Number","417"
"Persons with a disability","2022","Males","Chapelizod, Dublin City","Number","318"
"Persons with a disability","2022","Males","Cherry Orchard A, Dublin City","Number","532"
"Persons with a disability","2022","Males","Cherry Orchard C, Dublin City","Number","549"
"Persons with a disability","2022","Males","Clontarf East A, Dublin City","Number","386"
"Persons with a disability","2022","Males","Clontarf East B, Dublin City","Number","645"
"Persons with a disability","2022","Males","Clontarf East C, Dublin City","Number","315"
"Persons with a disability","2022","Males","Clontarf East D, Dublin City","Number","235"
"Persons with a disability","2022","Males","Clontarf East E, Dublin City","Number","188"
"Persons with a disability","2022","Males","Clontarf West A, Dublin City","Number","398"
"Persons with a disability","2022","Males","Clontarf West B, Dublin City","Number","283"
"Persons with a disability","2022","Males","Clontarf West C, Dublin City","Number","330"
"Persons with a disability","2022","Males","Clontarf West D, Dublin City","Number","264"
"Persons with a disability","2022","Males","Clontarf West E, Dublin City","Number","243"
"Persons with a disability","2022","Males","Crumlin A, Dublin City","Number","453"
"Persons with a disability","2022","Males","Crumlin B, Dublin City","Number","423"
"Persons with a disability","2022","Males","Crumlin C, Dublin City","Number","283"
"Persons with a disability","2022","Males","Crumlin D, Dublin City","Number","505"
"Persons with a disability","2022","Males","Crumlin E, Dublin City","Number","401"
"Persons with a disability","2022","Males","Crumlin F, Dublin City","Number","326"
"Persons with a disability","2022","Males","Decies, Dublin City","Number","357"
"Persons with a disability","2022","Males","Drumcondra South A, Dublin City","Number","556"
"Persons with a disability","2022","Males","Drumcondra South B, Dublin City","Number","203"
"Persons with a disability","2022","Males","Drumcondra South C, Dublin City","Number","295"
"Persons with a disability","2022","Males","Drumfinn, Dublin City","Number","544"
"Persons with a disability","2022","Males","Edenmore, Dublin City","Number","391"
"Persons with a disability","2022","Males","Finglas North A, Dublin City","Number","370"
"Persons with a disability","2022","Males","Finglas North B, Dublin City","Number","395"
"Persons with a disability","2022","Males","Finglas North C, Dublin City","Number","406"
"Persons with a disability","2022","Males","Finglas South A, Dublin City","Number","379"
"Persons with a disability","2022","Males","Finglas South B, Dublin City","Number","496"
"Persons with a disability","2022","Males","Finglas South C, Dublin City","Number","307"
"Persons with a disability","2022","Males","Finglas South D, Dublin City","Number","272"
"Persons with a disability","2022","Males","Grace Park, Dublin City","Number","675"
"Persons with a disability","2022","Males","Grange A, Dublin City","Number","1097"
"Persons with a disability","2022","Males","Grange B, Dublin City","Number","668"
"Persons with a disability","2022","Males","Grange C, Dublin City","Number","383"
"Persons with a disability","2022","Males","Grange D, Dublin City","Number","480"
"Persons with a disability","2022","Males","Grange E, Dublin City","Number","330"
"Persons with a disability","2022","Males","Harmonstown A, Dublin City","Number","378"
"Persons with a disability","2022","Males","Harmonstown B, Dublin City","Number","326"
"Persons with a disability","2022","Males","Inchicore A, Dublin City","Number","278"
"Persons with a disability","2022","Males","Inchicore B, Dublin City","Number","287"
"Persons with a disability","2022","Males","Inns Quay A, Dublin City","Number","373"
"Persons with a disability","2022","Males","Inns Quay B, Dublin City","Number","351"
"Persons with a disability","2022","Males","Inns Quay C, Dublin City","Number","298"
"Persons with a disability","2022","Males","Kilmainham A, Dublin City","Number","343"
"Persons with a disability","2022","Males","Kilmainham B, Dublin City","Number","263"
"Persons with a disability","2022","Males","Kilmainham C, Dublin City","Number","551"
"Persons with a disability","2022","Males","Kilmore A, Dublin City","Number","353"
"Persons with a disability","2022","Males","Kilmore B, Dublin City","Number","313"
"Persons with a disability","2022","Males","Kilmore C, Dublin City","Number","189"
"Persons with a disability","2022","Males","Kilmore D, Dublin City","Number","294"
"Persons with a disability","2022","Males","Kimmage A, Dublin City","Number","230"
"Persons with a disability","2022","Males","Kimmage B, Dublin City","Number","460"
"Persons with a disability","2022","Males","Kimmage C, Dublin City","Number","397"
"Persons with a disability","2022","Males","Kimmage D, Dublin City","Number","269"
"Persons with a disability","2022","Males","Kimmage E, Dublin City","Number","465"
"Persons with a disability","2022","Males","Kylemore, Dublin City","Number","344"
"Persons with a disability","2022","Males","Mansion House A, Dublin City","Number","423"
"Persons with a disability","2022","Males","Mansion House B, Dublin City","Number","62"
"Persons with a disability","2022","Males","Merchants Quay A, Dublin City","Number","247"
"Persons with a disability","2022","Males","Merchants Quay B, Dublin City","Number","383"
"Persons with a disability","2022","Males","Merchants Quay C, Dublin City","Number","374"
"Persons with a disability","2022","Males","Merchants Quay D, Dublin City","Number","308"
"Persons with a disability","2022","Males","Merchants Quay E, Dublin City","Number","244"
"Persons with a disability","2022","Males","Merchants Quay F, Dublin City","Number","237"
"Persons with a disability","2022","Males","Mountjoy A, Dublin City","Number","618"
"Persons with a disability","2022","Males","Mountjoy B, Dublin City","Number","362"
"Persons with a disability","2022","Males","North City, Dublin City","Number","416"
"Persons with a disability","2022","Males","North Dock A, Dublin City","Number","180"
"Persons with a disability","2022","Males","North Dock B, Dublin City","Number","801"
"Persons with a disability","2022","Males","North Dock C, Dublin City","Number","418"
"Persons with a disability","2022","Males","Pembroke East A, Dublin City","Number","588"
"Persons with a disability","2022","Males","Pembroke East B, Dublin City","Number","310"
"Persons with a disability","2022","Males","Pembroke East C, Dublin City","Number","324"
"Persons with a disability","2022","Males","Pembroke East D, Dublin City","Number","637"
"Persons with a disability","2022","Males","Pembroke East E, Dublin City","Number","253"
"Persons with a disability","2022","Males","Pembroke West A, Dublin City","Number","427"
"Persons with a disability","2022","Males","Pembroke West B, Dublin City","Number","220"
"Persons with a disability","2022","Males","Pembroke West C, Dublin City","Number","334"
"Persons with a disability","2022","Males","Phoenix Park, Dublin City","Number","200"
"Persons with a disability","2022","Males","Priorswood A, Dublin City","Number","180"
"Persons with a disability","2022","Males","Priorswood B, Dublin City","Number","316"
"Persons with a disability","2022","Males","Priorswood C, Dublin City","Number","517"
"Persons with a disability","2022","Males","Priorswood D, Dublin City","Number","344"
"Persons with a disability","2022","Males","Priorswood E, Dublin City","Number","327"
"Persons with a disability","2022","Males","Raheny-Foxfield, Dublin City","Number","284"
"Persons with a disability","2022","Males","Raheny-Greendale, Dublin City","Number","265"
"Persons with a disability","2022","Males","Raheny-St. Assam, Dublin City","Number","438"
"Persons with a disability","2022","Males","Rathfarnham, Dublin City","Number","556"
